SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason,Easting,Northing
3195,"St Luke's Green, LS11",0.3,"",19,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,429458,431706
3204,"Coupland Road, LS11",0.2,"",10,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,429643,431695
3206,"Din Buildings, Roundhay Road, LS8 3QD",0.3,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,432016,435811
3306,"Scott Hall Square, Chapel Allerton",0.8,"",24,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,430281,436191
3342,LS9 6PQ,0.4,"",12,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,433672,434777
3343,"Belle Isle, Leeds",0.4,"",16,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,430835,429950
3345,"Servia Road, Leeds LS7 1NJ",0.6,"",66,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,429929,435118
3346,"Former Bricklayers Arms, Low Close Street, Woodhouse",0.1,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,429386,435165
3354,"Oak Road, Armley",0.3,"",9,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,428187,433236
4178,"6 Grosvenor Mount, Leeds",0.4,"",7,NonIO,Main Urban Area Infill,Mix 70:30,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,428904,435695
4185,"Boggart Hill Gardens, Seacroft",0.5,"",18,NonIO,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,434371,436644
4235,"Leslie Terrace, Woodhouse",0.3,"",18,NonIO,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,429450,435364
5109,"Browning House, 126 Chapeltown Road, Chapeltown",0.2,"",9,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,430910,435475
5124,Pepper Road LS10,0.3,"",12,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,431605,430604
5141,BOGGART HILL LS14,0.7,"",24,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,434518,436618
5148,Otter Island Wellington Road Leeds,2.1,"",113,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,428600,433590
5150,"Dog and Gun, 601 York Road Leeds",0.6,"",7,NonIO,Main Urban Area Infill,Mix 60:40,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,433563,434089
5161,Grove Park Care Home Grove Lane Meanwood,0.4,"",77,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,428745,436484
HLA2000030,St Mary's Lane LS 9,0.1,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2104210,65 Brown Lane East LS11,0.2,"",3,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2104610,Coupland Place LS11,0.1,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2104920,"Kings Arms, Stocks Hill, Holbeck, Leeds, LS11 9PB",0.1,"",9,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2104940,"86 Elland Road, Holbeck, Leeds, LS11 0AB",0.1,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2104950,"272A Dewsbury Road, Hunslet, Leeds, LS11 6JT",0,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2405110,236 Tong Road LS12,0.1,"",9,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2405240,Theaker Lane LS12,0.1,"",17,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2600290,Ash Grove LS6,0.1,"",16,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2602860,Moorland Avenue LS6,0.1,"",15,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603100,12-28 Westfield Road LS3,0.2,"",104,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603180,114 Burley Road LS4,0.1,"",9,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603490,18A-20 Burley Lodge Road LS4,0.1,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603650,7 Grosvenor Road LS6,0.2,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603660,Royal Park Road LS6,0.2,"",9,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3402390,Chapeltown Rd/Savile Road LS7,0.1,"",22,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3402670,"2 Grange View, Chapeltown, Leeds, LS7 4EP",0,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2104790,"137 DEWSBURY ROAD, HUNSLET, LEEDS, LS11 5NN",0,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603800,"25 MOORLAND AVENUE, WOODHOUSE, LEEDS, LS6 1AP",0,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
208,"Mabgate, Macaulay Street, Argyll Road (land between)",1.2,"",428,LG,Main Urban Area Infill,Brownfield,Site close to the boundary of the city centre.  Suitable for mixed office/residential development.  Previous permission 08/01248/OT extended in 2013.,431032,434047
433,Globe Road - Doncasters/Lattitude LS11,1.9,"",609,NonIO,Main Urban Area Infill,Brownfield,Large site adjacent to the canal next to Whitehall Road. Site has had permissions in past for mixed use including office and residential. Given area the site is suitable for a housing and employment mix. The small area of employment is based on the approved planning application.,429152,433001
447,Whitehall Road - Doncasters LS12,3.5,"",463,LG,Main Urban Area Infill,Brownfield,Site has planning permission for a mix of office and residential development.,428982,433112
435,Ellerby Lane LS9,1,"",147,LG,Main Urban Area Infill,Brownfield,"",431324,432884
444,The Parade & The Drive  LS9,2.2,"",75,LG,Main Urban Area Infill,Brownfield,"",431220,433265
467,Goodman Street - Hunslet Mill  LS10,2.3,"",699,LG,Main Urban Area Infill,Brownfield,"",431391,432190
468,Yarn Street LS10,4.7,"",173,LG,Main Urban Area Infill,Brownfield,"",431467,431955
2139,"Cross Green Grove, Cross Green",0.5,"",21,AV,Main Urban Area Infill,Brownfield,"",431783,432633
3459,"Land adjacent St Hildas Church, Knowsthorpe Crescent/Cross Green Lane",0.4,"",86,AV,Main Urban Area Infill,Brownfield,"",431780,432501
125,"Education Road - former Buslingthorpe Tannery, Sheepscar",1.8,"",103,G,Main Urban Area Infill,Brownfield,Majority is vacant cleared brownfield site suitable in principle for residential development.,430363,435310
210,"Buslingthorpe Lane, Hill Top Works",1.5,"",86,G,Main Urban Area Infill,Brownfield,Brownfield site within urban area.  Suitable for housing or employment in principle.,430297,435437
226,Burley Street (46)  LS3 1DH,0.1,"",48,G,Main Urban Area Infill,Brownfield,Site within urban area.  Suitable in principle for residential development.,428929,433905
252,Belle Isle Road - Merlyn Rees High School,2.2,"",67,A,Main Urban Area Infill,Mix 50:50,The dwelling figure represents a reduction in developable area due to boundary redraw. Site is suitable for housing.,431378,429515
262,"Beckhill Approach, Miles Hill Primary School, Meanwood",2.6,"",79,G,Main Urban Area Infill,Mix 50:50,"Vacant land.  Sport England have agreed the principle of remodelling playing pitch land, planning brief being produced, so residential development considered acceptable in principle.",429255,437036
263,"Beckhill Grove - former Hill Top Public House, Meanwood",0.5,"",14,G,Main Urban Area Infill,Mix 50:50,"Majority brownfield, vacant site, redevelopment will aid the regeneration of Beckhill Estate. Suitable for residential.",429487,436686
285,"Macaulay Street - former Garage Site, Burmantofts",0.4,"",24,G,Main Urban Area Infill,Brownfield,Bownfield site in urban area suitable for development.,431136,434085
814,Oak Tree Mount  LS9,2.2,"",63,G,Main Urban Area Infill,Brownfield,Site suitable in principle for residential development.,433429,435266
816,York Road Depot/South Parkway LS14,0.9,"",39,G,Main Urban Area Infill,Brownfield,The principle of residential development is acceptable  and the site has previous planning history for residential approval (2008),435801,435699
1023,"Wesley Road (west of ),  Tong Road (north of), Armley",1,"",38,G,Main Urban Area Infill,Greenfield,Site within urban residential area.   Suitable in principle for residential development.,427200,433155
1145A,"Hudson Road, Hudson Mill (Arcadia), Burmantofts",11.4,"",360,A,Main Urban Area Infill,Brownfield,Agreed for housing with members.,432131,434365
1340,"Oak Road, New Wortley - Gassey Fields",2.8,"",137,G,Main Urban Area Infill,Greenfield,Allocated housing site in West Leeds Gateway Supplementary Planning Document (SPD).  Suitable for residential development.,428348,433227
2027,Round House (rear of),1,"",310,G,Main Urban Area Infill,Brownfield,Site in urban area.  Suitable in principle for residential development.,428907,433191
2141B,"Wykebeck Avenue, Osmondthorpe",1.4,"",52,G,Main Urban Area Infill,Greenfield,Siteis in predominantly residential area. Adjacent area is identified site. Suitable for residential.,433615,433644
2142,"Kendall Drive, Halton Moor",0.5,"",15,G,Main Urban Area Infill,Brownfield,"Vacant brownfield site, grassed over.  Suitable in principle for residential development.  Formerly identified for housing on the withdrawn East and South East Leeds (EASEL) Area Action Plan.",434123,433208
2143,"Neville Road, Halton Moor",2.8,"",83,G,Main Urban Area Infill,Brownfield,Part of land available in line with members and officer agreement on level of greenspace.,434377,433219
2146,"Barncroft Close, Seacroft",0.7,"",27,G,Main Urban Area Infill,Brownfield,"Vacant brownfield site, grassed over.  Suitable in principle for residential development.  Formerly identified for housing on the withdrawn East and South East Leeds (EASEL) Area Action Plan.",434688,437032
2147B,"Askets and Boggarts (B), Seacroft",5.5,"",150,A,Main Urban Area Infill,Greenfield,Part of site for residential and part for greenspace as agreed with members.,434310,436624
2147D,"Askets and Boggarts (D), Seacroft",4.4,"",88,A,Main Urban Area Infill,Greenfield,Site split between housing and greenspace as agreed with members.,434643,436413
2150A,"South Parkway and Brooklands, Seacroft",1.9,"",68,G,Main Urban Area Infill,Brownfield,Brownfield site within the main urban area. Suitable in principle for residential development.,434580,435728
2150C,"South Parkway and Brooklands, Seacroft",2.2,"",65,G,Main Urban Area Infill,Brownfield,Brownfield site within the main urban area. Suitable in principle for residential development.,434558,435495
3143,"Cambrian Street, LS11",0.6,"",37,G,Main Urban Area Infill,Greenfield,Site is a green wedge between a motorway and large resdiential area. Site does not include N1 to the north. Suitable for housing.,429356,431813
3454,Land off Holdforth Place,0.8,"",48,G,Main Urban Area Infill,Brownfield,Site in largely residential area.,428291,433115
4027,"Newhall Gate, Newhall Crescent, Middleton",0.6,"",23,A,Main Urban Area Infill,Greenfield,"",430985,429166
4060,"Former Shaftesbury PH, York Road",0.6,"",23,A,Main Urban Area Infill,Brownfield,"",433144,434078
4110,Brooklands Avenue,0.8,"",26,A,Main Urban Area Infill,Mix 50:50,"",435489,436140
4117,Moresdale Lane,0.4,"",14,A,Main Urban Area Infill,Greenfield,"Greenfield site in the Main Urban Area, previously had residential development, therefore principle of development acceptable.",434696,435315
4120,Hawkshead Crescent,0.8,"",25,G,Main Urban Area Infill,Greenfield,Brownfield (former cleared housing site) in the Main Urban Area. Suitable in principle for residential development.,435162,435170
4123,York Road / Selby Road,0.9,"",20,A,Main Urban Area Infill,Brownfield,"Brownfield site, suitable in principle for residential development. Some Highway concerns regarding access, but given former use and small scale of development that could be accommodated an acceptable solution is likely to be available.",434018,434090
4125,"Winrose Drive, Middleton",0.4,"",13,A,Main Urban Area Infill,Greenfield,Designated as N1 greenspace in the UDP. Consideration of greenspace in the round and local preference to allocate for housing.,430924,429492
5007,"Former Moorend training Centre, Tulip Street, Hunslet",0.7,"",26,NonIO,Main Urban Area Infill,Brownfield,"Brownfield site in Main Urban Area, suitable in principle for residential development.",430666,431107
5014,Gleadhow Road/Gledhow Terrace,0.4,"",25,NonIO,Main Urban Area Infill,Brownfield,"Brownfield site in the Main Urban Area, suitable in principle for residential development.",431412,434946
5017,"Amberton HOP, Thorn Mount, Gipton",0.6,"",20,NonIO,Main Urban Area Infill,Brownfield,"Brownfield site in the Main Urban Area, suitable in principle for residential development.",433133,435576
5020,"Burley Willows Care Home, Willow Garth, Burley",0.5,"",28,NonIO,Main Urban Area Infill,Brownfield,"Brownfield site in the Main Urban Area, suitable in principle for residential development.",428169,434378
198,Kirkstall Road - Yorkshire Chemicals Plc,5.9,"",273,LG,Main Urban Area Infill,Brownfield,Site to be removed from the 'identified' list and instead included as a preferred site as part of the group of four sites making up a larger area to be masterplanned. Capacity is revised accordingly - 273 - recalculated based on CC density and halved to allow for mixed use - KH/LP/SS 19/11/14.  Suitable for mixed use office development based on previous permission for 31000sqm of offices and close proximity to city centre boundary.,428558,433700
1265,Armley Gyratory - former Gas Works,5,"",122,A,Main Urban Area Infill,Brownfield,With the proposed remodelling of the Armley Gyratory junction land should become available for housing and general employment development.  It is a suitable location for both.,428498,433183
3015,Benyon House,2.5,"",37,A,Main Urban Area Infill,Brownfield,Site is suitable for residential or mixed use. Agreed with members.,431170,428283
3390,"Washington Street and Kirkstall Road, Leeds",2.8,"",238,A,Main Urban Area Infill,Brownfield,Suitable site for offices and high density housing on the fringes of the city centre.  Needs to be properly masterplanned with similar nearby sites.,428422,433907
3393,"Kirkstall Road, Leeds",2.4,"",315,A,Main Urban Area Infill,Brownfield,Suitable site for offices and high density housing on the fringes of the city centre.  Needs to be properly masterplanned with similar nearby sites.,428598,433781
3408,"Wellington Road, Leeds",2.5,"",325,A,Main Urban Area Infill,Brownfield,Suitable site for offices and high density housing on the fringes of the city centre.  Needs to be properly masterplanned with similar nearby sites.,428776,433449
278,"Compton Road  - Compton Arms, Burmantofts  LS9 7B",0.4,"",50,G,Main Urban Area Infill,Brownfield,No employment,432299,434799
1146,"York Road (land south of), East of Pontefract lane, Richmond Hill  LS9",5.5,"",121,A,Main Urban Area Infill,Mix 70:30,Site suited for residential development but part is required for a school extension and part must be retained as greenspace.  Not preferred for general employment.,431731,433520
206,East Street (78) - adjacent To Rose Wharf,0.5,"",72,AV,Main Urban Area Infill,Brownfield,"",431233,432792
207,"Lowfold, East Street",2.5,"",300,AV,Main Urban Area Infill,Brownfield,"",431359,432622
279,"Church Road - St Marys Church and Presbytery, Richmond Hill",0.8,"",126,LG,Main Urban Area Infill,Brownfield,"",431318,433177
301,"Upper Accommodation Road, LS9",0.4,"",16,AV,City Centre Infill,Brownfield,"",431458,433301
398,East Street/Ellerby Road LS9,0.9,"",102,AV,Main Urban Area Infill,Greenfield,"",431180,432975
437,South Accommodation Road  LS9,0.5,"",27,AV,Main Urban Area Infill,Brownfield,"",431428,432473
1065,"Goodman Street (76) - Tetleys Motor Services, Hunslet LS10",0.6,"",36,AV,Main Urban Area Infill,Brownfield,"",431366,432049
4063,"Butterfield Manor & Richmond Court, Walter Crescent",0.8,"",48,AV,Main Urban Area Infill,Brownfield,"",431533,433239
184,"M621 Interchange Site, Holbeck",1.5,"",176,R,City Centre Infill,Greenfield,Located immediately adjacent to major vehicle infrastructure (the road network) which would create negative amenity issues for a residential use i.e. noise and pollution.  History of office and employment permissions on this site.  Not suitable.,429976,432308
201,"Armley Road, Armley",0.8,"",48,R,Main Urban Area Infill,Brownfield,The site is within an existing employment area.  Not considered a suitable location for residential.,428663,433276
211,Meanwood Road - rear of 338/374,0.5,"",50,A,Main Urban Area Infill,Brownfield,Agreed to retain as employment site as agreed with members.,429777,435844
229,"Kirkstall Road - Grahams site, Burley",0.4,"",100,A,City Centre Infill,Brownfield,Members agreed with this Officer suggestion that this site is unlikely to come forward for residential as it is now a car showroom.,428991,433737
232,Kirkstall Road - Maxis Restaurant site,0.3,"",107,A,City Centre Infill,Brownfield,Memners agreed with Officer recommendation that this is not likely to be available as has planning permission.,428958,433780
259B,"Cartmell Drive, Whitebridge Primary School, Halton Moor",1,"",0,G,Main Urban Area Infill,Brownfield,split site - part B is required for school so not allocated,434132,433380
264,Roundhay Road (79)/Barrack Road Area Offices etc.,1.8,"",107,G,Main Urban Area Infill,Brownfield,Site required for school provision. Not available for residential.,431188,435059
370,Cambridge Road - Blenheim Middle School (land south of),0.6,"",37,R,Main Urban Area Infill,Greenfield,"The majority of the site is designated greenspace (N1) in the existing UDP, and links in with a wider greenspace area.  Part of the site has a car park for adjacent industry.  Mature trees and footpaths across site. Not suitable.",429966,435232
1011,Oldfield Lane ( No 11) LS12 4DH,3.9,"",193,R,Main Urban Area Infill,Brownfield,The site is in employment use and is not within a residential area.,428035,432621
1087,"Grosvenor Road - land at Ridgeway House, Hill Ridge House, Rosehurst  LS6",1.2,"",43,R,Main Urban Area Infill,Greenfield,"Heavily wooded site within conservation area, so not considered suitable for housing.",428926,435940
1098,"Boothroyd Drive, Meanwood  LS6",3.1,"",25,R,Main Urban Area Infill,Greenfield,The site is designated as greenspace (N1) and proposed greenspace (N5) on the existing UDP. The southern part of the site is within a Local Nature Area (LNA) on the existing UDP. Highway concerns as would need to acquire a property to gain access. Not suitable.,428725,436313
1142,Park Lane - land and property at Oak House LS3,0.2,"",40,A,"",Mixed,Site on edge of City Centre currently being used as an office. Any residential proposals are 8 years old. No interest in residential since.,428980,433929
1145B,"Hudson Road, Hudson Mill (Arcadia), Burmantofts",8.9,"",230,R,Main Urban Area Infill,Brownfield,Agreed with members to propose employment use for this area.,432106,434077
1152,"Oakwood Lane (land to east of), Leeds (Part of St Nicholas church site)",1,"",37,R,Main Urban Area Infill,Greenfield,Two thirds of the site is a designated protected playing pitch (N6) on the existing UDP and is part of the school grounds.  80% of the site is within flood zone 3 (high risk). Not suitable.,433766,435038
1278,Gelderd Road - Symphony Group   LS12,6.6,"",195,R,Main Urban Area Infill,Brownfield,The site is not within a residential area and would be more suitable as an employment site.,427617,431844
2025,Aireside - adjacent Park,1.4,"",192,A,City Centre Infill,Brownfield,"",428877,433536
2077,"Meanwood Road, Meanwood  LS6",1.2,"",44,R,Main Urban Area Infill,Greenfield,"Site is a designated allotment site (N1A) on the existing UDP and part is a Local Nature Area.  The allotments are overgrown, mature trees around boundary. Heavily Wooded area. Not suitable.",429225,436076
2079,"Matthew Murray High School (former), Holbeck  LS11",6.4,"",314,A,Main Urban Area Infill,Mix 60:40,Site unavailable at present.,428635,431848
2140,"Raincliffe Road, Richmond Hill",0.5,"",18,G,Main Urban Area Infill,Brownfield,Members and oficers identified the site for a community use. Not available for residential.,432211,433541
2145,"Primrose High School (former), Lincoln Green",5.7,"",77,LG,Main Urban Area Infill,Brownfield,"Expired permission, now likely to go for free school",431327,434337
2148,"Baileys Lane East, Seacroft",1.3,"",46,G,Main Urban Area Infill,Greenfield,To be retained as greenspace,435445,436303
2149,"Ramshead Approach, Seacroft",3.3,"",15,A,Main Urban Area Infill,Greenfield,Retain as greenspace,435572,436717
3009,Former Leeds Industrial Co Op Society Ltd Dairy Depot,1.2,"",45,R,Main Urban Area Infill,Brownfield,Not within residential area.  Site better suited for employment use.,427971,431853
3081A,Robin Hood West,14.2,"",0,G,"",Greenfield,Site is not required to meet the housing numbers due to local preference for alterantive sites. There is a possibility for a 2FE primary school on the site.,432369,427859
3081B,Robin Hood West,8,"",210,R,"",Greenfield,Agreed with members not to allocate.,432133,427853
3148,"Oatland Lane, LS7",1.2,"",23,LG,Main Urban Area Infill,Brownfield,Site no longer available - permission office and school,430352,434767
3150,"Leicester Place, LS7",0.6,"",31,R,Main Urban Area Infill,Greenfield,The site is used as open space and provides a buffer between the housing estate and highway. It is Green flat land surrounding the residentuial units.,430089,434792
3153,"Seacroft Crescent, LS14",0.6,"",13,G,Main Urban Area Infill,Greenfield,Site is a combination of Car Park and and landscaped land next to health facility. Part of the site also appears to be a thoroughfare connecting the Tescos to parts of Seacroft. A mature tress also populate the site. Not suitable.,435645,436185
3191,"Meynell Heights, LS11",0.4,"",55,G,Main Urban Area Infill,Brownfield,Site is an occupied tower block. Not suitable.,429201,432346
3197,"Cambridge Road, LS6",0.3,"",22,R,Main Urban Area Infill,Greenfield,This is green flat land that is effectively a buffer/landscaping between the existing residential units and the road. Not suitable.,430158,435109
3399,Premises at Roseville Road Leeds LS8 5DR,1.4,"",84,R,Main Urban Area Infill,Brownfield,In current use as car showrooms. Not suitable.,430958,434558
3411,"Torre Road, Leeds",1.5,"",58,A,Main Urban Area Infill,Brownfield,iite in occupied employment use. Not suitable for residential.,432380,433908
3425,"Armley Road, Leeds",2.1,"",100,A,Main Urban Area Infill,Brownfield,In employment use. Not appropriate for allocation for housing.,427953,433558
3426,"Barrack Street, Leeds",2.8,"",138,A,Main Urban Area Infill,Brownfield,In indutrial area. Currently in employment use. Officer and members agree not suitable for housing.,430496,434997
3427,"Cliffdale Road, Leeds",0.5,"",18,A,Main Urban Area Infill,Brownfield,"",429709,435901
3432,"Kirkstall, Leeds",9,"",236,A,Main Urban Area Infill,Brownfield,"",428517,434119
3433,"Meanwood Road/Cross Chancellor Street, Leeds",0.8,"",49,A,Main Urban Area Infill,Brownfield,"",429970,435453
4090,East Leeds Family Learning Centre (Former),3.8,"",115,G,Main Urban Area Infill,Brownfield,"",434646,435909
4098,Seacroft Ring Road,1.4,"",43,R,Main Urban Area Infill,Greenfield,"",435016,437758
4099,Seacroft Ring Road,3.1,"",82,R,Main Urban Area Infill,Greenfield,"",435499,437195
4100,"Ramshead Drive, Seacroft",1.8,"",56,R,Main Urban Area Infill,Greenfield,"",435015,437419
4101,Ramshead Wood,4.4,"",116,R,Main Urban Area Infill,Greenfield,"",435238,436993
4102,Ramshead Drive,2,"",53,A,Main Urban Area Infill,Greenfield,"",435136,436829
4107,North Parkway / Asket Walk,1.6,"",49,R,Main Urban Area Infill,Greenfield,"",434295,436266
4113,Bishops Way,2.5,"",67,R,Main Urban Area Infill,Greenfield,"",434440,435946
4114,Lambrigg Crescent,0.6,"",18,R,Main Urban Area Infill,Greenfield,"",435256,435793
4115,Foundry Mill Street,1.6,"",50,A,Main Urban Area Infill,Greenfield,"",435008,435482
4122,Seacroft Hall,7.6,"",200,A,Main Urban Area Infill,Greenfield,"",435681,435384
4124,"John Charles Approach, Middleton",4.3,"",128,A,Main Urban Area Infill,Greenfield,"",430518,430273
4225,"Domestic Street, Holbeck",2.6,"",125,NonIO,Main Urban Area Infill,Brownfield,"",428778,432647
5018,"Land at Brown Lane West, Holbeck",1.7,"",99,NonIO,Main Urban Area Infill,Greenfield,Site to be allocated for employment,428531,432249
331,South Accommodation Road and Atkinson Street,1.2,"",69,AV,Main Urban Area Infill,Brownfield,"",431344,432292
340,"Church Street (former motor dealers premises), Hunslet",1.3,"",46,AV,Main Urban Area Infill,Brownfield,"",430942,431311
342,"Low Road - Hemingway House, Hunslet  LS10 2PR",0.5,"",20,AV,Main Urban Area Infill,Brownfield,"",431413,431556
3,Monk Bridge Road (3)  LS6,0.5,"",9,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
6,"Kirkstall Lane, Victoria Home LS6",0.5,"",50,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
8,"Otley Road, Spenfield House LS16",1.2,"",13,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
34,"Low Hall Road -Riverside Mill, Horsforth LS19",7.9,"",90,LG,Main Urban Area Extension,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,421771,437622
65,"Low Lane - Woodside Mill, Horsforth",1.3,"",59,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,424894,438399
106,Newton Green  - former Civil Service Sports Association Ground,1.6,"",14,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,431062,436135
124,"Park Avenue (1) - Beech Lodge, Roundhay",0.4,"",4,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,433181,437420
174,"Moor Road (40/42) - University of Leeds, Tetley Hal",2.6,"",68,G,Main Urban Area Infill,Mix 50:50,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,427857,436771
253,Cranmer Gardens - Moorhaven Residential Home  LS17,0.6,"",14,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,429434,439193
685,"Tile Lane - Eastmoor, Adel, LS16",5.6,"",67,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,428174,439630
687,"Dunstarn Lane, Adel, LS16",2.7,"",28,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,427835,438853
688,Silk Mill Drive  LS16,0.4,"",20,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,424872,438670
689,Cookridge Hospital  LS16,7.2,"",495,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,425408,438925
720,"Westbrook Lane, Horsforth",1.2,"",15,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,423684,439178
721,"Westbrook Lane, Horsforth",2.7,"",75,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,423575,439218
731,"Victoria Avenue, Horsforth",0.4,"",6,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,423090,437354
762,Chandos Avenue LS8,1.7,"",1,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,431451,437738
764,Woodlea Drive - The Mansion LS6,1,"",25,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,428605,438167
845,Mansion Gate Drive - Mansion House  LS7,0.6,"",37,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,431049,436678
1033,"Otley Road, Government Buildings  LS16 5PU",4.7,"",130,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,427086,439042
