Allocation Ref,SHLAA Refs,Address,Capacity,Completed post-2012, Under construction,Not started,Area HA,Green/Brown,Status
HG1-110,HLA3402640,"2 ST MARTIN'S ROAD, LEEDS, LS7 3LX",5,0,0,5,,,Draft
HG1-111,106,Newton Green - former Civil Service Sports Association Ground,14,0,0,14,,,Draft
HG1-112,5183,"Elton Lodge, Newton Road",9,0,0,9,,,Draft
HG1-113,3184,"Former Dutton Arms (PH), Queenswood Drive",9,8,0,1,,,Draft
HG1-114,3201,"The Former Lounge Cinema, North Lane, Headingley",12,12,0,0,,,Draft
HG1-115,HLA2602780,25-7 Bennett Road LS6,8,3,5,0,,,Draft
HG1-116,HLA2603760,"51 - 61 Otley Road And 3 - 9 North Lane, LS6",14,0,0,14,,,Draft
HG1-117,HLA2603820,"GRANBY STREET, HEADINGLEY, LEEDS, LS6",5,0,0,5,,,Draft
HG1-118,4179,"19 Shire Oak Road, LS6",6,6,0,0,,,Draft
HG1-119,4184,"Belmont House, Wood Lane, LS6",6,0,0,6,,,Draft
HG1-120,HLA2603310,1 North Grange Mount LS6,11,0,0,11,,,Draft
HG1-121,6,"Kirkstall Lane, Victoria Home LS6",50,50,0,0,,,Draft
HG1-122,HLA2603270,45 St Michael's Lane LS6,41,0,0,41,,,Draft
HG1-123,5102,"Headingley Halls Of Residence 54 - 56 Headingley Lane, Headingley, Leeds, LS6 2BP",39,39,0,0,,,Draft
HG1-124,HLA2404950,Eden Mount LS4,17,0,0,17,,,Draft
HG1-125,1092,"St Ann's Lane - former Boston Exchange Diner), Leeds LS4 2SE",12,12,0,0,,,Draft
HG1-126,4182,"St Anns Lane, LS4 2SE",13,13,0,0,,,Draft
HG1-127,4058A,"Land at 116 Cardigan Road, Headingley",14,0,0,14,,,Draft
HG1-128,HLA2404860,83 Cardigan Lane LS4,22,0,0,22,,,Draft
HG1-129,3217,"232 Burley Road, LS4",7,7,0,0,,,Draft
MX1-2,376,"Ring Road West Park, Silk Mill Way and Iveson Drive Iveson Drive",485,0,0,485,,,Draft
MX1-3,626,Abbey Road - Kirkstall Forge LS5,970,0,0,970,,,Draft
HG2-30,4216,Eyrie Public House,14,,,,0.4,Brownfield,Draft
HG2-31,4000,"Ralph Thoresby (Site F) Holt Park, Leeds",15,,,,0.4,Greenfield,Draft
HG2-32,4217,Cookridge Fire Station,15,,,,0.4,Brownfield,Draft
HG2-33,3010B,"Land south east of Holt Park Leisure Centre, Holt Park, Leeds",28,,,,0.8,Brownfield,Draft
HG2-34,4233,"Farrar Lane, Adel",16,,,,0.9,Brownfield,Draft
HG2-37,3384,Brownberrie Lane,12,,,,0.8,Greenfield,Draft
HG2-40,81,"High Moor Court (land at rear), High Moor Avenue, Moor Allerton",20,,,,0.9,Greenfield,Draft
HG2-41,4240,South of A65 from Horsforth & Rawdon RA to crematorium,777,,,,36.3,Greenfield,Draft
HG2-44,235,Clarence Road (land at) - Horsforth LS18 4LB,25,,,,0.7,Brownfield,Draft
HG2-45,4057,"St Joseph's, Outwood Lane, Horsforth",30,,,,0.8,Mix 50:50,Draft
HG2-47,37,"Vesper Road (land at), Kirkstall LS5 3NU",17,,,,0.5,Brownfield,Draft
HG2-48,3457,Weetwood Manor,32,,,,0.9,Greenfield,Draft
HG2-49,3376,"Off Weetwood Avenue, Headingley, Leeds",30,,,,4,Greenfield,Draft
HG2-50,1242,"Church Lane - Paddock, Meanwood LS6",25,,,,0.7,Greenfield,Draft
HG2-51,2055,"Carr Manor, Meanwood LS6",15,,,,4.3,Mix 70:30,Draft
HG2-52,4058B,"Land at Cockcroft House, Cardigan Road, Headingley",13,,,,0.3,Brownfield,Draft
HG2-87,817,Amberton Terrace,14,,,,1.6,Brownfield,Draft
MX2-3,97,"Meanwood Road Working Mens Club, Meanwood Road",9,,,,0.5,Brownfield,Draft
MX2-4,3014,Kirkstall District Centre,55,,,,3.6,Brownfield,Draft
HG2-29,1199B,"Moseley Wood Gardens (land off), Cookridge LS16",63,,,,2.4,Greenfield,Draft
HG2-36,2053B,"Alwoodley Lane, Alwoodley LS17",285,,,,13.4,Greenfield,Draft
HG2-38,1178A,"Dunstarn Lane (land south), Adel LS16",68,,,,2.2,Greenfield,Draft
HG2-42,1016,"Broadway and Calverley Lane, Horsforth",18,,,,0.6,Greenfield,Draft
HG2-43,5009,Horsforth Campus,206,,,,7.8,Mix 50:50,Draft
HG2-46,1062,Horsforth (former waste water treatment work),53,,,,3.1,Greenfield,Draft
HG1-27,787,"Linton Springs, Sicklinghall Road, Linton",16,0,0,16,,,Draft
HG1-28,1046,"Land rear of 18 to 28 Ashburn Drive, Ashburn Close, 2 to 14 Glebe Field Chase and Land rear of 64 Spofforth Hill, Wetherby",325,0,0,325,,,Draft
HG1-29,793,"Linton Road - Raintree Lodge, Wetherby",4,0,0,4,,,Draft
HG1-30,3186,Wetherby Health Centre,8,0,0,8,,,Draft
HG1-31,HLA3104340,"FORMER GEORGE & DRAGON, HIGH STREET, WETHERBY, LS22 6LT",2,2,0,0,,,Draft
HG1-32,4076,"Site of Benfield Motors, Deighton Road, Wetherby",56,0,0,56,,,Draft
HG1-33,5139,HALLFIELD LANE WETHERBY,9,7,2,0,,,Draft
HG1-34,4074,"Site of Forensic Science Services, Sandbeck Way, Wetherby",57,0,0,57,,,Draft
HG1-35,71,"Thorp Arch Grange, Walton Road, Thorp Arch",14,14,0,0,,,Draft
HG1-36,103,Moor End (7-14) - Boston Spa LS23 6ER,9,0,0,9,,,Draft
HG1-37,777,"Churchfields, Boston Spa",170,121,34,15,,,Draft
HG1-38,HLA3104350,"REAR OF 134-140 HIGH STREET, BOSTON SPA, WETHERBY, LS23 6BW",6,3,0,3,,,Draft
HG1-39,90,"Church Lane (27) - St Vincents School, Boston Spa",13,0,0,13,,,Draft
HG1-40,HLA3104250,201 HIGH STREET BOSTON SPA,10,0,10,0,,,Draft
HG1-41,757,Harewood Village Farm,18,6,8,4,,,Draft
HG1-42,780,"First Avenue, Bardsey",5,0,0,5,,,Draft
HG1-43,5126,"Keswick La, Bardsey",10,0,0,10,,,Draft
HG1-44,1127,"Woodacre Green and Bankfield (land to south), Bardsey",14,5,9,0,,,Draft
HG1-45,3353,Wetherby LS23 6HJ,5,5,0,0,,,Draft
HG1-46,HLA3100390,"Land To Rear Of 20-30 Syke Lane, Scarcroft, Leeds",9,0,0,9,,,Draft
HG1-47,785,"Syke Lane/Moses Syke, Scarcroft",11,11,0,0,,,Draft
HG1-48,1041,"Wetherby Road (land to east at Castle Mona Lodge), Scarcroft",11,0,0,11,,,Draft
HG1-49,HLA3104180,THE BIGGIN GREAT NORTH ROAD BRAMHAM,7,0,0,7,,,Draft
HG1-50,783,"Bowcliffe Road Timber Yard, Bramham",14,0,0,14,,,Draft
HG1-51,778,"Bowcliffe Road - Bramham House, Bramham",30,0,0,30,,,Draft
HG1-52,786,Aberford Road - Bramham Lodge,11,11,0,0,,,Draft
HG1-53,3152,"Spen Common Lane, Bramham",9,0,0,9,,,Draft
HG1-54,4070,"Black Horse Farm, South Approach, Aberford",5,0,5,0,,,Draft
HG1-55,798,"Station Road (37-51), Scholes",1,1,0,0,,,Draft
HG1-56,3223,"Elmhurst, Elmwood Lane, Barwick In Elmet",1,1,0,0,,,Draft
HG1-57,4072,"White House Farm, Bunkers Hill, Aberford, LS25",5,0,0,5,,,Draft
HG1-288,797,East Leeds Extension,675,0,0,675,,,Draft
HG2-19,5166,Land at Sandbeck Lane Wetherby,165,,,,6.3,Greenfield,Draft
HG2-20,4075,"Mercure Hotel, Wetherby Road, Wetherby",67,,,,1.9,Brownfield,Draft
HG2-26,15,"Wetherby Road - Scarcroft Lodge, Scarcroft",130,,,,5.8,Brownfield,Draft
MX2-33,3391,"Headley Hall, Bramham, Leeds",3000,,,,276,Greenfield,Draft
HG2-22,1154,"Church Street (land to east of), Boston Spa LS23",19,,,,1.1,Greenfield,Draft
HG2-23,3132,Church Street,17,,,,0.6,Greenfield,Draft
HG2-24,1153,"Keswick Lane (land to north of), Bardsey - site of The Blessed Sacrament Church",10,,,,0.4,Brownfield,Draft
HG2-25,4150,"Farfield House, Bramham",14,,,,0.5,Brownfield,Draft
HG2-28,4068,"Land to the East of Belle Vue Avenue, Scholes",15,,,,0.6,Greenfield,Draft
HG3-7,2136,"The Ridge, Linton","",,,,4.1,100,Draft
HG3-8,2135,Leeds Road Collingham,"",,,,6.5,100,Draft
HG3-9,2137,"West Park, Boston Spa","",,,,4.1,110,Draft
HG3-10,1008,"Grove Road, Boston Spa","",,,,3.9,103,Draft
HG3-11,1167,"Chapel Lane (land to the east of), Clifford LS23","",,,,1.6,36,Draft
HG3-12,1061,"Wood Lane (land off), and east of the former railway, Scholes, LS15","",,,,1.9,60,Draft
HG3-13,2134,Scholes (east of),"",,,,32.1,850,Draft
HG1-15,744,"Rumplecroft, Otley",135,"",0,"",,,Draft
HG1-16,317,"Wharfedale General Hospital, Newall Carr Road, Otley",61,"",61,"",,,Draft
HG1-17,749,"Prince Henry Court, Newall Carr Road, Otley",3,"",3,"",,,Draft
HG1-18,7,"Bridge Street - All Saints Mill, Otley LS21 1BQ",48,"",0,"",,,Draft
HG1-19,3348,"The Manor House And Clitherow House, Our Lady And All Saints Church, Manor Square, Otley",6,"",6,"",,,Draft
HG1-20,HLA2901390,"23-5 Manor Square, Otley",8,"",0,"",,,Draft
HG1-21,5181,"Development Engineering Services, Ilkley Road, Otley",12,"",0,"",,,Draft
HG1-22,3190,"Manor Garage, Leeds Road, Otley",14,"",14,"",,,Draft
HG1-23,5127,"The Tannery, Leeds Road, Otley, LS21 1QX",10,0,0,10,,,Draft
HG1-24,745,Otley (east of),550,0,0,550,,,Draft
HG1-25,364,"Creskeld Crescent (11) - Bramwood, Bramhope LS16",8,0,0,8,,,Draft
HG1-26,684,"Church Lane, Adel LS16",45,45,0,0,,,Draft
MX1-1,1122,"Mill Lane - Garnetts Paper Mill, Otley",245,25,33,187,,,Draft
HG2-13,4259,"Former Inglewood Children's Home, White Croft Garth, Otley",16,,,,0.4,Mix 50:50,Draft
HG2-14,2035,"East Chevin Road, Otley",54,,,,1.5,Brownfield,Draft
MX2-1,320,"Westgate - Ashfield Works, Otley",50,,,,1.9,Brownfield,Draft
MX2-2,313,"Westgate, Otley",15,,,,0.8,Brownfield,Draft
HG2-18,2130,"Church Lane, Adel",58,,,,15.6,Greenfield,Draft
HG2-15,3400,Green Acres and Equestrian Centre,42,,,,1.5,Greenfield,Draft
HG2-16,1002,"Creskeld Lane, Bramhope - land to rear of no. 45",23,,,,1.5,Greenfield,Draft
HG2-17,1080_3367A,"Breary Lane East, Bramhope, LS16",376,,,,19.3,Greenfield,Draft
HG3-5,1095B,"Old Pool Bank (land at), Pool in Wharfedale, Otley LS21","",,,,12,280,Draft
HG3-6,1369,"Old Pool Bank, Pool in Wharfedale, Otley, LS21","",,,,11.1,260,Draft
HG1-397,5101,"Woodland Hotel, Wood Lane, Rothwell, Leeds LS26 0ph",12,0,0,12,,,Draft
HG1-398,519,"Holmsley Lane - Langdale PS, Woodlesford",3,0,1,2,,,Draft
HG1-399,3300,"Former White Hart Hotel, 40 Church Street, Woodlesford, Leeds",7,7,0,0,,,Draft
HG1-400,499,"Aberford Road, Woodlesford",21,0,0,21,,,Draft
HG1-401,498,"Pottery Lane, Woodlesford",41,0,0,41,,,Draft
HG1-402,HLA2202260,"The Chapel, Calverley Road, Oulton",8,0,8,0,,,Draft
HG1-403,334,"Fleet Lane (land off), Oulton",77,0,13,64,,,Draft
HG1-404,HLA2202010,"Marsh Street, Rothwell",6,0,0,6,,,Draft
HG1-405,HLA2201950,Swithin Street Rothwell,8,"",0,0,,,Draft
HG1-406,335,"Royds Lane (land off), Rothwell",90,"",0,0,,,Draft
HG1-407,5149,"China Red Dragon, 3 Wakefield Road, Oulton",74,"",0,0,,,Draft
HG1-408,5129,"Sharp Lane, Robin Hood",9,"",0,1,,,Draft
HG1-409,4192,"Land At Shayfield Lane, Carlton, WF3",14,"",0,0,,,Draft
HG1-410,507,"Main Street, Carlton",15,"",0,0,,,Draft
HG1-411,133,"Royds Green - Royds Green Farm, Oulton LS26 8EZ",7,"",0,7,,,Draft
HG1-412,2129A,Mickletown Road Methley,6,"",0,0,,,Draft
HG1-413,2129B,"Site of Shann Hall bounded by Balmoral Drive Longbow Avenue and Station Road, Methley, Leeds",181,"",0,0,,,Draft
HG1-414,5128,Main Street Mickletown,10,"",0,0,,,Draft
HG1-415,515,"Main Street, former Bay Horse Public House, Methley",2,"",1,1,,,Draft
HG1-416,523,"Pinfold Lane, Methley WMC, Methley",6,"",0,0,,,Draft
HG1-417,269,"Little Church Lane, Methley Infants School, Methley",12,"",12,0,,,Draft
HG1-418,135,"Leeds Road - Lofthouse Hall, Lofthouse WF3",8,"",0,4,,,Draft
HG2-176,4082,"Windlesford Green Hostel, Woodlesford",26,,,,0.7,Brownfield,Draft
HG2-177,136,"Alma Villas (site at), Woodlesford LS26 8PW",12,,,,0.7,Mix 60:40,Draft
HG2-178,143,"Aberford Road - site of Glenoit and Minerva Mills, Oulton",70,,,,2.3,Brownfield,Draft
HG2-182,129A,"Main Street and Pitfield Road, Carlton, Wakefield",36,,,,1.1,Brownfield,Draft
MX2-14,130,"Aberford Road (77/79), Oulton LS26 8HS",50,,,,1.3,Brownfield,Draft
HG2-173,1049_1058,Haighside Rothwell,578,,,,22,Greenfield,Draft
HG2-174,1359,Wood Lane - Rothwell Garden Centre LS26,52,,,,3.2,Mix 50:50,Draft
HG2-175,1259B,"Bullough Lane - Haigh Farm (land adjacent to), Rothwell Haigh LS26 0JY",154,,,,8.1,Greenfield,Draft
HG2-179,1035,"Fleet Lane / Eshald Lane (land at), Oulton LS26 8HT",40,,,,1.3,Greenfield,Draft
HG2-180,4222A_4222B_4222C,Land between Fleet Lane & Methley Lane Oulton,322,,,,14.9,Greenfield,Draft
HG2-183,1365A,"Swithens Lane, Rothwell, Leeds LS26 0BS",136,,,,3.2,Greenfield,Draft
HG2-181,3445A,"Land at Leadwell Lane, Robin Hood",60,,,,2.3,Greenfield,Draft
HG2-184,3088,"Westgate Lane, Lofthouse",31,,,,1.1,Greenfield,Draft
HG2-185,1261_4220,Church Farm Lofthouse,188,,,,8,Mix 70:30,Draft
HG2-186,289,"Main Street, Hunts Farm, Methley",25,,,,1.2,Greenfield,Draft
HG3-26,129B,"Main Street and Pitfield Road, Carlton, Wakefield","",,,,4.2,115,Draft
HG3-27,1224,"Church Lane (land south of), Mickletown","",,,,2.5,55,Draft
HG3-28,1225C,"Pinfold Lane (land west of), Mickletown","",,,,2.2,50,Draft
HG1-304,822,"Barrowby Lane, Garforth",33,26,0,7,,,Draft
HG1-305,820,Micklefield (south of),150,0,0,150,,,Draft
HG1-306,825,"Manor Farm buildings, Micklefield",14,0,0,14,,,Draft
HG1-307,1118,"Church Lane and Manor Farm (existing phase 3 housing allocations), Micklefield",400,10,0,390,,,Draft
HG1-308,836,"Barleyhill Road, Garforth",30,14,16,0,,,Draft
HG1-309,HLA3306630,Beech Grove Avenue Garforth,9,0,0,9,,,Draft
HG1-310,4083,"Grange Court, Garforth",58,0,0,58,,,Draft
HG1-311,2040,"Bullerthorpe Lane (Temple Point), Colton",69,69,0,0,,,Draft
HG1-312,823,"Selby Road, Garforth",68,"",68,0,,,Draft
HG1-313,HLA3306670,"Land Off Birch Grove, Kippax, Leeds",6,"",6,0,,,Draft
HG1-314,HLA3300450,Church Lane Swillington,14,"",6,0,,,Draft
HG1-315,3352,51 Westfield Lane Kippax,6,"",0,0,,,Draft
HG1-316,4196,"Royal Oak, Cross Hills, Kippax",11,"",6,5,,,Draft
HG1-317,3351,"2 Brigshaw Lane, Allerton Bywater",8,"",0,0,,,Draft
HG1-318,HLA3306660,"Queens Court, Queen St Allerton Bywater",9,"",0,0,,,Draft
HG1-319,298,"Queen Street - Hollinshurst Depot, Allerton Bywater",76,"",0,1,,,Draft
HG1-320,819,"Queen Street, (a.k.a land south of Leeds Road), Allerton Bywater",114,"",106,7,,,Draft
HG1-321,5193,"Land Adjacent To West Court, Park Lane, Allerton Bywater, Castleford, WF10 2AJ",5,"",0,0,,,Draft
HG1-322,818,"Station Road, Allerton Bywater",222 1302,"",31 342,33 62,,,Draft
HG2-124,1232B,"Stourton Grange Farm South, Selby Road - Ridge Road, Garforth",2314,,,,132.9,Greenfield,Draft
HG2-129,265,"Ash Tree Primary School, Kippax",22,,,,0.5,Brownfield,Draft
HG2-130,5013,"Land at 25 - 29 high Street, Kippax",16,,,,0.4,Brownfield,Draft
HG2-135,310,"Barnsdale Road, Allerton Bywater",49,,,,1.8,Brownfield,Draft
HG2-125,1176,"Pit Lane (land to south of), Micklefield LS25",79,,,,4.3,Greenfield,Draft
HG2-126,1174,"Micklefield Railway Station Car Park (land to north of), Micklefield, LS25",18,,,,0.7,Greenfield,Draft
HG2-127,4200B,"Newtown Farm, Micklefield",42,,,,1.6,Greenfield,Draft
HG2-128,3109C,"Selby Road/Leeds Road, Kippax",40,,,,1.5,Greenfield,Draft
HG2-131,3100B,"Whitehouse Lane, Great Preston",40,,,,1.2,Greenfield,Draft
HG2-132,1175A,"Brigshaw Lane (land to east of), Kippax",76,,,,3,Greenfield,Draft
HG2-133,1357,"Ninevah Lane, Allerton Bywater",57,,,,2.9,Mix 50:50,Draft
HG2-134,827,"Carlton View, Allerton Bywater",25,,,,0.9,Greenfield,Draft
HG3-18,2132,Selby Road Garforth,18,500,,,,,Draft
HG3-19,2131,Moorgate Kippax,8.9,166,,,,,Draft
HG3-20,1149A,"Park Lane / Doctor's Lane (land off), Allerton Bywater",40.6,950,,,,,Draft
HG1-283,503,Sharp Lane C,42,42,"",0,,,Draft
HG1-323,52,"Whitehall Road - The Print Factory , Lower Wortley",15,4,"",7,,,Draft
HG1-324,608,Whitehall Road - Dunlop and Ranken LS12,1,0,"",1,,,Draft
HG1-325,637,"Royds Lane, Wortley, LS12",154,0,"",1,,,Draft
HG1-326,3199,"Cottingley Gate, LS11",3,0,"",3,,,Draft
HG1-327,481,Barkly Road LS11,25,0,"",0,,,Draft
HG1-328,HLA2104510,Green Lane LS11,13,0,"",0,,,Draft
HG1-329,HLA2104900,"1 Low Moor Terrace, Dewsbury Road,Hunslet, Leeds,LS11 7E",5,5,"",0,,,Draft
HG1-330,5189,"Drighlington Junior School, Whitehall Road, Drighlington, Bradford, BD11 1LN",9,0,"",0,,,Draft
HG1-331,5113,"2 Back Lane, Drighlington, BD11 1LS",6,0,"",0,,,Draft
HG1-332,533,"Whitehall Road, Drighlington",29,29,0,0,,,Draft
HG1-333,1077,"Site of Nethertown Farm and Site adjacent to 13 Old Lane, Drighlington, Bradford",20,0,0,20,,,Draft
HG1-334,5131,"Reedsdale Gardens, Gildersome",15,0,0,15,,,Draft
HG1-335,5100,"Leeds Valve Co Ltd, 23 - 25 Town End, Gildersome, Morley, Leeds, LS27 7HF",9,0,0,9,,,Draft
HG1-336,3216,"Wakefield Road, Drighlington",5,0,0,5,,,Draft
HG1-337,HLA2303730,224 Wakefield Rd Drighlington,5,5,0,0,,,Draft
HG1-338,1126,"Bradford Road (land at), Drighlington",26,0,26,0,,,Draft
HG1-339,3218,"18 Bradford Road, Gildersome",4,4,0,0,,,Draft
HG1-340,3428,"Land off Daisy Hill Close, Morley, Leeds",14,0,0,14,,,Draft
HG1-341,338,"Daisy Hill, Churwell, Morley",92,67,17,8,,,Draft
HG1-342,3224,"Hilltop Gar, Victoria Road, Churwell",3,3,0,0,,,Draft
HG1-343,HLA2304180,"Chapel Hill, Morley LS27 9JH",1,1,0,0,,,Draft
HG1-344,563,"Albert Road, Morley",40,0,0,40,,,Draft
HG1-345,HLA2304270,"Kennedys Mill, Albert Road, Morley, Leeds, LS27 8PF",5,0,0,5,,,Draft
HG1-346,4198,"St Marys Congregational Church, Morley",18,0,0,18,,,Draft
HG1-347,HLA2304260,"Commercial Street, Morley, Leeds, LS27 8HX",6,6,0,0,,,Draft
HG1-348,HLA2304280,"Former Peel Court Residential Home, 84 Peel Street, Morley, Leeds",9,9,0,0,,,Draft
HG1-349,5137,SOUTH PARADE MORLEY,9,0,9,0,,,Draft
HG1-350,547,"South Street - Park Mills, Morley",33,0,0,33,,,Draft
HG1-351,1285,"Owlers Farm PAS , Wide Lane, Morley",114,0,0,114,,,Draft
HG1-352,5107,"Middleton Park Grove, Middleton",12,12,0,0,,,Draft
HG1-353,509,"Lingwell Road, Middleton LS10",128,87,0,17,,,Draft
HG1-354,4031,"Thorpe Road, Thorpe Crescent, Thorpe View, Middleton",25,0,0,25,,,Draft
HG1-355,3161,"Acre Mount, Middleton",20,0,0,20,,,Draft
HG1-356,501,Sharp Lane A,116,114,2,0,,,Draft
HG1-357,502,Sharp Lane B,105,78,17,10,,,Draft
HG1-358,3185,"Beech Works, Worrall Street, Morley",11,11,0,0,,,Draft
HG1-359,552,Parkfield Mills Fountain St Morley,8,8,0,0,,,Draft
HG1-360,3188,"Corporation Street, Morley",22,0,0,22,,,Draft
HG1-361,559,"Chartists Way, Morley",51,0,51,0,,,Draft
HG1-362,HLA2304170,Land Adj To 5 King Street Morley,9,9,0,0,,,Draft
HG1-363,HLA2302950,South Queen Street Morley,44,41,0,3,,,Draft
HG1-364,HLA2304310,"Land At Junction Of St Pauls Street, South Queen, Street, Morley, Leeds",7,0,0,7,,,Draft
HG1-365,HLA2304210,"THE FORMER SYCAMORE PUBLIC HOUSE, HIGH STREET, MORLEY, LEEDS",6,0,0,6,,,Draft
HG1-366,5133,Bridge Street Morley,11,0,0,11,,,Draft
HG1-367,HLA2303950,Hollow Top Mill Bridge Street Morley,9,5,4,0,,,Draft
HG1-368,2100A,"Throstle Lane Playing Fields, Middleton LS10",140,0,0,140,,,Draft
HG1-369,493,"Milner Lane, Robin Hood",72,71,0,1,,,Draft
HG1-370,1281A,"Bruntcliffe Road, Morley",173,0,52,121,,,Draft
HG1-371,1281B,"Bruntcliffe Road, Morley",61,0,0,61,,,Draft
HG1-372,4187,"Cross Hall School House, Morley",13,13,0,0,,,Draft
HG1-373,5191,"Summerfield Court Residential Home, Britannia Road Morley, Leeds, LS27 0DN",7,0,0,7,,,Draft
HG1-374,516,"Lingwell Gate Lane, Thorpe",9,9,0,0,,,Draft
HG1-375,3350,309 Leeds Road Lofthouse,5,4,0,1,,,Draft
HG1-376,3222,"Blackgates, Bradford Road, Tingley",5,5,0,0,,,Draft
HG1-377,3212,"Common Lane, East Ardsley",10,10,0,0,,,Draft
HG1-378,494,"Ardsley Sidings, East Ardsley",174,89,14,71,,,Draft
HG1-379,495,"Fall Lane (West), East Ardsley",64,0,0,64,,,Draft
HG1-380,5132,"Howley Hall Farm, Scotchman Lane, Morley, Leeds, LS27 0NX",8,0,0,8,,,Draft
HG1-381,4052,"Syke Road, Woodkirk",6,0,0,6,,,Draft
HG1-382,525,Haigh Moor Road / Westerton Road,5,5,0,0,,,Draft
HG1-383,1330A,"Haigh Moor Road - Jude's Point, West Ardsley, WF3 1EF Plan App 12/01850/RM",32,29,3,0,,,Draft
HG1-384,HLA2304220,"7 & 9 HAIGH MOOR ROAD, WEST ARDSLEY, WF3 1ED",5,0,0,5,,,Draft
HG1-385,1038,"Waterword Close (7a), Tingley WF3 1QL",12,3,9,0,,,Draft
HG1-386,4186,"Westerton Rd and Waterwood Close, Tingley",14,12,2,0,,,Draft
HG1-387,544,"Bradford Road, East Ardsley",12,4,8,0,,,Draft
HG1-388,5117,Timber Tops Forsythia Avenue East Ardsley,8,0,0,8,,,Draft
HG1-389,5130,"Fall Lane, East Ardsley",35,0,0,35,,,Draft
HG1-390,527,"Ardsley Common, Bradford Road",23,1,1,21,,,Draft
HG1-391,HLA2304230,"BRAMLEY HOUSE, REAR OF 31/93 BRADFORD ROAD",7,0,0,7,,,Draft
HG1-392,375,"Main Street - The Old Hall Yard, East Ardsley WF3 2AP",6,0,0,6,,,Draft
HG1-393,551,"Baghill Lane - Manor House Farm, West Ardsley",6,0,6,0,,,Draft
HG1-394,536,"Woolin Crescent, West Ardsley",28,0,0,28,,,Draft
HG1-395,3214,"Batley Road, WArdsley",5,3,0,2,,,Draft
HG1-396,HLA2304330,Land Adjacent 10 Woollin Avenue West Ardsley WF3 1EX,6,4,0,2,,,Draft
HG2-137,3386,"Royds Lane, Wortley, Leeds",111,,,,3.6,Brownfield,Draft
HG2-138,4002,"Park Lees site, St Anthony's Road, Beeston",18,,,,0.5,Brownfield,Draft
HG2-139,341,"Old Lane - Jubilee Works, Beeston",44,,,,1.2,Brownfield,Draft
HG2-140,3394,"Dewsbury Road, Leeds, LS11 7DF",60,,,,1.8,Brownfield,Draft
HG2-141,5008,Westland Road,61,,,,2,Mix 50:50,Draft
HG2-142,333,"Whitehall Road (off), Drighlington BD11 1BX",49,,,,1.6,Brownfield,Draft
HG2-146,3378,"Geldered Road, Leeds",85,,,,3.8,Brownfield,Draft
HG2-151,5147,Land at Parkwood Road Beeston,19,,,,0.5,Brownfield,Draft
HG2-152,1319,"Albert Road (land north of), Morley",63,,,,2.6,Greenfield,Draft
HG2-153,1284A_4211,Albert Drive Morley,121,,,,4.6,Mix 50:50,Draft
HG2-154,1320,"Albert Drive - Lower Moor Farm, Morley",190,,,,7.2,Greenfield,Draft
HG2-155,4053,Joseph Priestly College,14,,,,0.4,Brownfield,Draft
HG2-156,2036,"Rod Mills Lane, High Street, Morley",15,,,,1.8,Brownfield,Draft
HG2-157,137A,"Britannia Road, Morley",58,,,,1.6,Greenfield,Draft
HG2-158,141,"Tingley Mills, Tingley Common, Morley",36,,,,1,Brownfield,Draft
HG2-159,2098A_2098C,"Sissons Farm, Middleton LS10",222,,,,8.2,Greenfield,Draft
HG2-160,4034,"Acre Road, Sissons Drive, Middleton",14,,,,0.4,Brownfield,Draft
HG2-161,4035,"Throstle Mount, Middleton",15,,,,0.4,Mix 60:40,Draft
HG2-164,4032,"Thorpe Road, Thorpe Square, Middleton",26,,,,0.7,Brownfield,Draft
HG2-165,4004,"Thorpe Hill Farm, Lingwell Gate Lane, Thorpe",57,,,,2.2,Brownfield,Draft
HG2-166,1029,"Long Thorpe Lane (land off), Thorpe, Wakefield WF3 3BZ",17,,,,0.6,Greenfield,Draft
HG2-167,1143B_1143D,"Old Thorpe Lane (land at), Tingley WF3",619,,,,27.6,Greenfield,Draft
HG2-172,562,Fall Lane - East Ardsley PS,25,,,,0.8,Brownfield,Draft
HG2-136,1171B,Whitehall Road (south of) - Harpers Farm,279,,,,10.7,Greenfield,Draft
HG2-149,1282,"Lane Side Farm, PAS Morley",542,,,,20.6,Greenfield,Draft
HG2-150,1220A,Churwell (land to the east of) LS27,213,,,,10.7,Greenfield,Draft
HG2-168,3373A,"Haigh Wood, Ardsley",108,,,,4.8,Greenfield,Draft
HG2-169,3373C,"Haigh Wood, Ardsley",262,,,,11.7,Greenfield,Draft
HG2-143,2124_3003,King Street/Spring Gardens Drighlington,250,,,,10.8,Greenfield,Draft
HG2-144,1344,"Westfield Farm, Drighlington BD11",17,,,,0.6,Greenfield,Draft
HG2-145,3000_3064,Bradford Road/Wakefield Road Gildersome,393,,,,18.4,Greenfield,Draft
HG2-147,1200A,"Highfield Drive/Harthill Lane (land off), Gildersome LS27",76,,,,3.4,Greenfield,Draft
HG2-148,3060A,"Gelderd Road/M621, Gildersome",203,,,,7.9,Greenfield,Draft
HG2-170,3456A,Land off Haigh Moor Road,41,,,,1.6,Greenfield,Draft
HG2-171,"",Westerton Road East Ardsley,213,,,,8.4,Greenfield,Draft
HG1-130,1337,Harrogate Road - Stylo House Apperley Bridge Bradford BD10,17,0,17,0,,,Draft
HG1-131,602,Pollard Lane LS13,136,0,77,59,,,Draft
